user_id,name,password,join_date
U001,User 1,pass123,2025-10-19 21:03:44.313927
U002,User 2,pass123,2025-02-15 21:03:44.313958
U003,User 3,pass123,2025-05-04 21:03:44.313964
U004,User 4,pass123,2025-10-15 21:03:44.313968
U005,User 5,pass123,2025-11-19 21:03:44.313971
U006,User 6,pass123,2025-07-25 21:03:44.313974
U007,User 7,pass123,2026-01-09 21:03:44.313976
U008,User 8,pass123,2025-10-19 21:03:44.313979
U009,User 9,pass123,2025-09-30 21:03:44.313981
U010,User 10,pass123,2025-06-29 21:03:44.313983
U011,User 11,pass123,2025-03-05 21:03:44.313986
U012,User 12,pass123,2025-11-03 21:03:44.313990
U013,User 13,pass123,2025-10-22 21:03:44.313993
U014,User 14,pass123,2025-02-04 21:03:44.313995
U015,User 15,pass123,2025-08-31 21:03:44.313998
U016,User 16,pass123,2025-09-21 21:03:44.314000
U017,User 17,pass123,2025-09-02 21:03:44.314002
U018,User 18,pass123,2025-03-27 21:03:44.314005
U019,User 19,pass123,2025-05-17 21:03:44.314008
U020,User 20,pass123,2025-02-20 21:03:44.314010
U021,Insight Tester,pass123,2026-01-30
U022,karthika,pass123,2026-01-30
R001,Fresh Mart,pass123,2026-01-30
R002,Daily Needs,pass123,2026-01-30
